#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Proteobacteria	d__Archaea;p__Thermoplasmatota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Synergistota
ERR2405375	0.058249158	0.011447811447811448	0.006734007	0.6161616161616161	0.098653199	0	0	0.20707070707070707	0	0.001683502	0	0	0	0	0	0	0	0
ERR2405380	0.012069647803719826	0.006331619	0.00257222	0.594380689	0.3533834586466165	0	0.000593589	0.003759398	0	0	0.005935892	0.020182034032449545	0	0.000791452	0	0	0	0
ERR2405385	0.015280607519911095	0.006112243	0.005278755	0.45082422670864974	0.4514724949064642	0	0.000740878	0.067095758	0	0	0.000277829	0	0	0	0.002917207	0	0	0
ERR2523875	0.018380040533929696	0.017541408	0.00356419	0.5463694178489062	0.41093018380040536	0	0.000419317	0.002026696	0	0.000139772	0.000209658	0.000139772	0	0	0.000279544	0	0	0
ERR2523884	0.040290168	0.007744339	0.027840407803156553	0.2934026075874914	0.5991569453975101	0	0.000784237	0.004117243	0.000196059	0	0.003333007	0.021762572296833645	0.000196059	0.000196059	0.000686207	0	0	0.000294089
ERR2523885	0.014208439	0.007573026	0.004399567	0.31878831590335377	0.6181031373963217	0	0.000432744	0.029282365668950594	0	0	0.000144248	0.005986296	0.000288496	0.000649116	0.000144248	0	0	0
ERR2523926	0.064812452	0.030705112	0.012333078166198861	0.20940716169090753	0.6685378923194693	0.000255167	0.000425279	0.006719401	0	0	0.003997618	0.001445947	0	0	0	0	0.001360891	0
ERR2523980	0.043555107	0.008647898	0.025564954	0.14108067163236965	0.7206160838277995	0	0.000252493	0.027395531	0	0	0.000820603	0.028910491099608634	0	0.002588057	0.00056811	0	0	0
ERR2524105	0.004837899	0.048002011	0.044420708720784116	0.47411409901985424	0.4222794672028148	0	0.000314149	0.001633576	0	0	0.00439809	0	0	0	0	0	0	0
ERR2524125	0.024739456511152235	0.002434986	0.020551280802571344	0.27778318885750464	0.6676731274958605	0	0.000584397	0.002921983	0	0	0.002434986	0.000876595	0	0	0	0	0	0
ERR2524128	0.05098839	0.002823972	0.002823972	0.23595858173831188	0.6421399435205523	0	0.003294634	0.017257609	0	0	0.002039536	0.041888924	0	0.000784437	0	0	0	0
ERR2579702	0.00090036	0.019807923169267706	0.007202881	0.4384753901560624	0.5192076830732293	0	0	0.00180072	0	0	0.0030012	0.009603842	0	0	0	0	0	0
ERR2579757	0.010941833516963642	0.005736864	0.026252801945214847	0.17259982523460354	0.7731469169104517	0	0.001747654	0.007484518	0	0	0.001101782	0.000493902	0.000113977	0.000379925	0	0	0	0
ERR2579760	0.005608525	0.037764068	0.026827444382127502	0.6226397457468685	0.2590203776406805	0	0	0.003739017	0	0	0.005047672	0.03935315	0	0	0	0	0	0
ERR2579880	0.023563734290843807	0.035233393	0.008976661	0.37993716337522443	0.5168312387791741	0	0.003141831	0.025359066427289047	0	0	0.004712747	0	0	0.002244165	0	0	0	0
ERR2579892	0.010933081998114986	0.004147031	0.002827521	0.8431668237511781	0.11517436380772855	0	0.000565504	0.015457115928369463	0	0	0.002073516	0.00527804	0	0	0.000377003	0	0	0
