Genus	q25_percent	q50_percent	q75_percent
unclassified CAG-508	0.042	0.098	0.267
unclassified Dehalobacteriaceae	0.011	0.019	0.025
unclassified Eggerthellaceae	0.03	0.049	0.087
unclassified Enterobacteriaceae	0.056	0.247	2.81
unclassified Enterococcaceae	0.036	0.11	0.329
unclassified Lachnospiraceae	0.086	0.27	0.785
unclassified Lactobacillaceae	0.035	0.094	0.418
unclassified Moraxellaceae	0.014	0.03	0.077
unclassified Muribaculaceae	0.082	0.348	1.511
unclassified Oscillospiraceae	0.066	0.139	0.287
unclassified Peptostreptococcaceae	0.019	0.052	0.121
unclassified Planococcaceae	0.087	0.18	0.956
unclassified Rhizobiaceae	0.117	0.347	0.537
unclassified Ruminococcaceae	0.016	0.025	0.051
unclassified UBA660	0.032	0.069	0.162
unclassified UBA932	0.015	0.022	0.042
