#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Deinococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Fusobacteriota	d__Archaea;p__Thermoplasmatota	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Synergistota
ERR2318164	0.031607038612292554	0.016512384	0.18155283129013428	0.016734773	0.7416673616323354	0	5.559725349567731e-05	0	0.011425235593361689	0	0.000389181	5.559725349567731e-05	0	0	0	0	0	0
ERR2318172	0.024073107049608355	0.057754569	0.1562402088772846	0.001409922	0.743733681	0	0.012297650130548303	0.002428198	0.001462141	7.83289817232376e-05	0.000182768	0	0.000339426	0	0	0	0	0
ERR2318198	0.010757325283308177	0.001629172	0.23920074750233594	0.00361772	0.11253264333117707	0	0.6282134215002755	0.000215626	0.002132298	0.000311459	0.000503127	0.00014375	0	0	0.000646877	0	0	9.583363281343588e-05
ERR2318204	0.00234974	0.010511996042542666	0.6421592876576799	0.000185506	0.26187237200098934	0	0.039821914	0.001236705	0.035184269	0	0.006307198	0	0.000371012	0	0	0	0	0
ERR2319269	0.002551427	0.005102854	0.38045880128482584	0.019135704034444267	0.5791967560425542	0	0.00836048	0.000341709	0.000455612	0.000273367	0.003508212	0	0.000410051	9.112240016402031e-05	0	0	0.000113903	0
ERR2319274	0.045531148	0.000377731	0.18418758716875872	0.020165039516503953	0.7230648535564853	0	0.000145281	0	0.026092515	0.000116225	0.000319619	0	0	0	0	0	0	0
ERR2319276	0.056190787	0.002613525	0.6703691604050964	0.020581509310682783	0.2231296961777197	0	0.002286834	0	0.024828487422410978	0	0	0	0	0	0	0	0	0
ERR2319346	0.071798447	0.003087034	0.23287193786098387	0.063831906	0.6219876518621789	0	0.001194981	0	0.005228042	0	0	0	0	0	0	0	0	0
ERR2319378	0.043353067	0.024908381	0.043715516894204824	0.031593573	0.8263058273931779	0	0.014195964721517459	0	0.015927671056340863	0	0	0	0	0	0	0	0	0
ERR2319417	0.003504028	0.009877497	0.7809292572563735	0.008470368	0.18941066107493654	0	0	0	0.007808189	0	0	0	0	0	0	0	0	0
ERR2319448	0.003720815	0.027720071	0.7481628476636384	0.001364299	0.21193141297944249	0	0.001116244	0.000124027	0.003534774	0	0.001054231	0.001271278	0	0	0	0	0	0
ERR2319449	0.006542526	0.019124308002013084	0.6318990102331824	0.005494045	0.3298943130347257	0	0.000335514	0.000209696	0.004403624	0	0.002096964	0	0	0	0	0	0	0
ERR2319450	0.017136038	0.043508353	0.4528878281622912	0.0050358	0.454582339	0	0.001288783	0.000501193	0.005990453	0	0.001694511	0.017064439140811457	0	0.000238663	0	0	0	7.159904534606205e-05
ERR2319451	0.046026609	0.003505933	0.5223241040393144	0.003206281	0.37962962962962965	0	0.005064126	0.000449479	0.004225099	0	0.009828599	0.024691358024691357	0.000779096	0.000269687	0	0	0	0
ERR2319452	0.052248051	0.006813379	0.2442978940464913	0.007396342	0.6347008671573271	0	0.004226481	0.002623333	0.011258471179771187	0.001093055	0.007687823	0.026233330904321214	0.00105662	0.000364352	0	0	0	0
ERR2319454	0.017736530033513793	0.028177365300335138	0.5452178396493942	0.013482856	0.20010311936065997	0	0.1891724671307038	0	0.005052849	0	0.000953854	0	5.155968032998195e-05	5.155968032998195e-05	0	0	0	0
ERR2319461	0.010734828211989789	0.044508013	0.6745409246101319	0.000676694	0.19427270769893268	0	0.056104088	0.0005229	0.017286456891513643	0	0.001015041	0	0	0	0	0	0	0.000338347
ERR2319462	0.011822082291570207	0.048893416	0.6246566040065438	0.001944625	0.299626509	0	0.000277804	0.000401272	0.008364972	0	0.003950983	0	6.173411118313423e-05	0	0	0	0	0
ERR2319463	0.019139350629175083	0.056951996271555075	0.564983688	0.00248563	0.3032779244989902	0	0.019481125	0.000466056	0.027559422091036196	6.214074879602299e-05	0.005344104	0.000124281	0	6.214074879602299e-05	0	0	0	6.214074879602299e-05
ERR2319464	0.010253417805935312	0.052350784	0.6701678337223519	0.005890853	0.25100033344448147	0	0.000138935	0.000111148	0.00647438	8.336112037345781e-05	0.003390019	0	5.5574080248971876e-05	0	0	0	0	8.336112037345781e-05
ERR2319473	0.009817889	0.024777006937561942	0.43539395441030726	0.010685084241823588	0.49826560951437066	0	0.002137017	0.000402626	0.018087215	0	0.000433598	0	0	0	0	0	0	0
ERR2319485	0.018722590801754188	0.10202781213688669	0.42226095430863225	0.022901908	0.42059297574871624	0	0	0	0.011226057948198958	0.000655947	0.000899584	0	0.000112448	0	0.000599723	0	0	0
ERR2319495	0.072447992	0.12457668118045477	0.17053701015965167	0.016811804547653603	0.5728108369617804	0	0.010038703	0	0.032776971	0	0	0	0	0	0	0	0	0
ERR2319502	0.00471658	0.012492563950029744	0.7921305345457635	0.002337044	0.1720914421687771	0	0	0	0.012705022520608482	0	0.003526812	0	0	0	0	0	0	0
ERR2319503	0.050352755792715684	0.004619847	0.31669233248576445	0.005228665	0.5718583246785803	0	0	0	0.036457401	0	0.013823729541954662	0	0.00039394	0	0.000573004	0	0	0
ERR2319519	0.037839147	0.002277132	0.19607558139534884	0.003100775	0.742781008	0.000484496	0.000290698	0.000678295	0.016472868217054265	0	0	0	0	0	0	0	0	0
ERR2319529	0.13297872340425532	0.022956327	0.5187569988801791	0.001959686	0.2337625979843225	0	0.067469205	0	0.016797312	0	0.004759239	0	0	0.00055991	0	0	0	0
ERR2319585	0.003782217	0.003751716	0.6664023181332926	0.004636267	0.2660973005947842	0	0	0	0.044227543	0	0.011102638401708099	0	0	0	0	0	0	0
ERR2319603	0.027876631079478055	0.015421115	0.20877817319098457	0	0.701067616	0	0.008896797	0	0.024911032	0	0.010083036773428233	0.002965599	0	0	0	0	0	0
ERR2404903	0.16184140902562552	0.008466248	0.4016932496787361	0.018066369340086173	0.4087988510091466	0	0	0	0.000755915	0	0.000377958	0	0	0	0	0	0	0
ERR2404913	0.016071983	0.009059882	0.46217809494260004	0.004778157	0.48492088116661497	0	0.000279243	0.000496432	0.014768848898541732	0	0.002668321	0.004778157	0	0	0	0	0	0
ERR2404917	0.011470904528617517	0.002867726	0.47365276616083163	0.006930338	0.3889353566734377	0	0.013860676305412833	0.000597443	0.089138487	0	0.012546302	0	0	0	0	0	0	0
ERR2404934	0.062979007	0.00244363	0.28079529045873597	0.00788626	0.6184605131622792	0	0.00055537	0	0.020993002332555816	0	0.005886927	0	0	0	0	0	0	0
ERR2404953	0.013097776424002438	0.027337800791958574	0.45172098690222356	0.071504721	0.36003655193420653	0	0.012412427657630216	0	0.047060615	0	0.016829119707584526	0	0	0	0	0	0	0
ERR2404986	0.062642246	0.014522596726996857	0.2428741736208952	0.001300531	0.6373685921751382	0	0.009645605	0.000216755	0.025468733	0.000216755	0.003684838	0.001192153	0	0.00043351	0	0	0.00043351	0
ERR2404987	0.029138915318744053	0.00547098	0.5028544243577545	0	0.4490960989533777	0	0.003924833	0	0.007611798	0	0.000356803	0.001546147	0	0	0	0	0	0
ERR2405046	0.078477761	0.078815736	0.2231309990536704	0.001216709	0.3877247532783561	0	0.2202920102744356	0	0.005610383	0	0.003447344	0.00027038	0	0.00027038	0	0.000743545	0	0
ERR2405050	0.015282022784106696	0	0.7504862461794943	0.003056405	0.10836343428730202	0	0	0	0.11669908307863296	0	0.006112809	0	0	0	0	0	0	0
